Number of nodes 838 
   131 :  7.7842944e-03  3.5640578e-02 
   132 :  7.7992065e-03  4.0678142e-02 
   133 :  1.6170713e-02  4.5194115e-02 
   134 :  1.0260604e-02  2.8190779e-02 
   135 :  1.2678548e-02  2.7189234e-02 
   136 : -2.0742232e-02  3.5926600e-02 
   137 : -1.8277041e-02  3.1656763e-02 
   138 : -1.6411601e-02  2.8425726e-02 
   139 : -1.2678548e-02  2.7189234e-02 
   140 : -1.0260604e-02  2.8190779e-02 
   141 : -1.2323979e-02  2.6985749e-02 
   142 : -9.7030162e-03  2.8035024e-02 
   143 : -6.9941817e-03  2.8830410e-02 
   144 : -4.2220068e-03  2.9364703e-02 
   145 : -1.4115968e-03  2.9633064e-02 
   146 :  1.4115969e-03  2.9633064e-02 
   147 :  4.2220069e-03  2.9364703e-02 
   148 :  6.9941818e-03  2.8830410e-02 
   149 :  9.7030163e-03  2.8035024e-02 
   150 :  1.2323979e-02  2.6985749e-02 
   151 : -4.0147836e-02  4.4588690e-02 
   152 : -4.8541020e-02  3.5267115e-02 
   153 : -5.4812727e-02  2.4404199e-02 
   154 : -5.8688856e-02  1.2474701e-02 
   155 : -4.7224608e-02  8.5928094e-03 
   156 : -3.9127907e-02  1.3584760e-02 
   157 : -3.4757793e-02  1.1078892e-02 
   158 : -3.1462538e-02  9.1893598e-03 
   159 : -2.8190779e-02  1.0260604e-02 
   160 : -2.7189234e-02  1.2678548e-02 
   161 : -2.5980762e-02  1.5000000e-02 
   162 : -2.4574561e-02  1.7207293e-02 
   163 : -2.2981333e-02  1.9283628e-02 
   164 : -2.3689488e-02  2.2652677e-02 
   165 : -2.6973498e-02  2.4561686e-02 
   166 : -3.1328701e-02  2.7093382e-02 
   167 : -3.1053895e-02  3.6601306e-02 
   168 : -1.9283628e-02  2.2981333e-02 
   169 : -1.7207293e-02  2.4574561e-02 
   170 : -4.1484465e-02  1.4835534e-17 
   171 : -3.6554082e-02  1.2934901e-17 
   172 : -3.2823201e-02  1.1496668e-17 
   173 : -2.9885841e-02  2.6146723e-03 
   174 : -2.9544233e-02  5.2094453e-03 
   175 : -2.9532334e-02  2.8199959e-03 
   176 : -2.9130551e-02  5.6144536e-03 
   177 : -2.8464958e-02  8.3580659e-03 
   178 : -2.7541582e-02  1.1025986e-02 
   179 : -2.6368785e-02  1.3594054e-02 
   180 : -2.4957188e-02  1.6039011e-02 
   181 : -2.3319575e-02  1.8338717e-02 
   182 : -2.1470776e-02  2.0472344e-02 
   183 : -1.9427535e-02  2.2420571e-02 
   184 : -1.7208355e-02  2.4165753e-02 
   185 : -5.8688856e-02 -1.2474701e-02 
   186 : -5.4812727e-02 -2.4404199e-02 
   187 : -4.8541020e-02 -3.5267115e-02 
   188 : -4.0147836e-02 -4.4588690e-02 
   189 : -3.1053895e-02 -3.6601306e-02 
   190 : -3.1328701e-02 -2.7093382e-02 
   191 : -2.6973498e-02 -2.4561686e-02 
   192 : -2.3689488e-02 -2.2652677e-02 
   193 : -2.2981333e-02 -1.9283628e-02 
   194 : -2.4574561e-02 -1.7207293e-02 
   195 : -2.5980762e-02 -1.5000000e-02 
   196 : -2.7189234e-02 -1.2678548e-02 
   197 : -2.8190779e-02 -1.0260604e-02 
   198 : -3.1462538e-02 -9.1893598e-03 
   199 : -3.4757793e-02 -1.1078892e-02 
   200 : -3.9127907e-02 -1.3584760e-02 
   201 : -4.7224608e-02 -8.5928093e-03 
   202 : -2.9544233e-02 -5.2094453e-03 
   203 : -2.9885841e-02 -2.6146723e-03 
   204 : -2.0742232e-02 -3.5926600e-02 
   205 : -1.8277041e-02 -3.1656763e-02 
   206 : -1.6411601e-02 -2.8425726e-02 
   207 : -1.7207293e-02 -2.4574561e-02 
   208 : -1.9283628e-02 -2.2981333e-02 
   209 : -1.7208355e-02 -2.4165753e-02 
   210 : -1.9427535e-02 -2.2420571e-02 
   211 : -2.1470776e-02 -2.0472344e-02 
   212 : -2.3319575e-02 -1.8338717e-02 
   213 : -2.4957188e-02 -1.6039011e-02 
   214 : -2.6368785e-02 -1.3594053e-02 
   215 : -2.7541582e-02 -1.1025986e-02 
   216 : -2.8464958e-02 -8.3580658e-03 
   217 : -2.9130551e-02 -5.6144536e-03 
   218 : -2.9532334e-02 -2.8199959e-03 
   219 : -1.8541020e-02 -5.7063391e-02 
   220 : -6.2717077e-03 -5.9671314e-02 
   221 :  6.2717078e-03 -5.9671314e-02 
   222 :  1.8541020e-02 -5.7063391e-02 
   223 :  1.6170713e-02 -4.5194115e-02 
   224 :  7.7992065e-03 -4.0678142e-02 
   225 :  7.7842944e-03 -3.5640578e-02 
   226 :  7.7730501e-03 -3.1842037e-02 
   227 :  5.2094453e-03 -2.9544233e-02 
   228 :  2.6146723e-03 -2.9885841e-02 
   229 : -3.8867958e-11 -3.0000000e-02 
   230 : -2.6146723e-03 -2.9885841e-02 
   231 : -5.2094453e-03 -2.9544233e-02 
   232 : -7.7730501e-03 -3.1842037e-02 
   233 : -7.7842944e-03 -3.5640578e-02 
   234 : -7.7992065e-03 -4.0678142e-02 
   235 : -1.6170713e-02 -4.5194115e-02 
   236 : -1.0260604e-02 -2.8190779e-02 
   237 : -1.2678548e-02 -2.7189234e-02 
   238 :  2.0742232e-02 -3.5926600e-02 
   239 :  1.8277041e-02 -3.1656763e-02 
   240 :  1.6411601e-02 -2.8425726e-02 
   241 :  1.2678548e-02 -2.7189234e-02 
   242 :  1.0260604e-02 -2.8190779e-02 
   243 :  1.2323979e-02 -2.6985749e-02 
   244 :  9.7030162e-03 -2.8035024e-02 
   245 :  6.9941817e-03 -2.8830410e-02 
   246 :  4.2220068e-03 -2.9364703e-02 
   247 :  1.4115968e-03 -2.9633064e-02 
   248 : -1.4115969e-03 -2.9633064e-02 
   249 : -4.2220069e-03 -2.9364703e-02 
   250 : -6.9941818e-03 -2.8830410e-02 
   251 : -9.7030163e-03 -2.8035024e-02 
   252 : -1.2323979e-02 -2.6985749e-02 
   253 :  4.0147836e-02 -4.4588690e-02 
   254 :  4.8541020e-02 -3.5267115e-02 
   255 :  5.4812727e-02 -2.4404199e-02 
   256 :  5.8688856e-02 -1.2474701e-02 
   257 :  4.7224608e-02 -8.5928094e-03 
   258 :  3.9127907e-02 -1.3584760e-02 
   259 :  3.4757793e-02 -1.1078892e-02 
   260 :  3.1462538e-02 -9.1893598e-03 
   261 :  2.8190779e-02 -1.0260604e-02 
   262 :  2.7189234e-02 -1.2678548e-02 
   263 :  2.5980762e-02 -1.5000000e-02 
   264 :  2.4574561e-02 -1.7207293e-02 
   265 :  2.2981333e-02 -1.9283628e-02 
   266 :  2.3689488e-02 -2.2652677e-02 
   267 :  2.6973498e-02 -2.4561686e-02 
   268 :  3.1328701e-02 -2.7093382e-02 
   269 :  3.1053895e-02 -3.6601306e-02 
   270 :  1.9283628e-02 -2.2981333e-02 
   271 :  1.7207293e-02 -2.4574561e-02 
   272 :  2.9885841e-02 -2.6146723e-03 
   273 :  2.9544233e-02 -5.2094453e-03 
   274 :  2.9532334e-02 -2.8199959e-03 
   275 :  2.9130551e-02 -5.6144536e-03 
   276 :  2.8464958e-02 -8.3580659e-03 
   277 :  2.7541582e-02 -1.1025986e-02 
   278 :  2.6368785e-02 -1.3594054e-02 
